time,power_RightAway_kW,power_Midnight_kW,power_TCIN_kW
24516,64714.3,63648.4,167488
24517,64714.3,63648.4,167488
24518,64714.3,63648.4,167488
24519,64714.3,63648.4,167488
24520,64714.3,63648.4,167488
24521,64714.3,63648.4,167488
24522,64714.3,63648.4,167488
24523,64714.3,63648.4,167488
24524,64714.3,63648.4,167488
24525,64714.3,63648.4,167488
24526,64714.3,63648.4,167488
24527,64714.3,63648.4,167488
24528,64714.3,63648.4,167488
24529,64714.3,63648.4,167488
24530,64714.3,63648.4,167488
24531,64714.3,63648.4,167488
24532,64714.3,63648.4,167488
24533,64714.3,63648.4,167488
24534,64714.3,63648.4,167488
24535,64714.3,63648.4,167488
24536,64714.3,63648.4,167488
24537,64714.3,63648.4,167488
24538,64714.3,63648.4,167488
24539,64714.3,63648.4,167488
24540,64714.3,63648.4,167488
24541,64714.3,63648.4,167488
24542,64714.3,63648.4,167488
24543,64714.3,63648.4,167488
24544,64714.3,63648.4,167488
24545,64714.3,63648.4,167488
24546,64714.3,63648.4,167488
24547,64714.3,63648.4,167488
24548,64714.3,63648.4,167488
24549,64714.3,63648.4,167488
24550,64714.3,63648.4,167488
24551,64714.3,63648.4,167488
24552,64714.3,63648.4,167488
24553,64714.3,63648.4,167488
24554,64714.3,63648.4,167488
24555,64714.3,63648.4,167488
24556,64714.3,63648.4,167488
24557,64714.3,63648.4,167488
24558,64714.3,63648.4,167488
24559,64714.3,63648.4,167488
24560,64714.3,63648.4,167488
24561,64714.3,63648.4,167488
24562,64714.3,63648.4,167488
24563,64714.3,63648.4,167488
24564,64714.3,63648.4,167488
24565,64714.3,63648.4,167488
24566,64714.3,63648.4,167488
24567,64714.3,63648.4,167488
24568,64714.3,63648.4,167488
24569,64714.3,63648.4,167488
24570,64714.3,63648.4,167488
24571,64714.3,63648.4,167488
24572,64714.3,63648.4,167488
24573,64714.3,63648.4,167488
24574,64714.3,63648.4,167488
24575,64714.3,63648.4,167488
24576,64714.3,63648.4,167488
24577,64714.3,63648.4,167488
24578,64714.3,63648.4,167488
24579,64714.3,63648.4,167488
24580,64714.3,63648.4,167488
24581,64714.3,63648.4,167488
24582,64714.3,63648.4,167488
24583,64714.3,63648.4,167488
24584,64714.3,63648.4,167488
24585,64714.3,63648.4,167488
24586,64714.3,63648.4,167488
24587,64714.3,63648.4,167488
24588,64714.3,63648.4,167488
24589,64714.3,63648.4,167488
24590,64714.3,63648.4,167488
24591,64714.3,63648.4,167488
24592,64714.3,63648.4,167488
24593,64714.3,63648.4,167488
24594,64714.3,63648.4,167488
24595,64714.3,63648.4,167488
24596,64714.3,63648.4,167488
24597,64714.3,63648.4,167488
24598,64714.3,63648.4,167488
24599,64714.3,63648.4,167488
24600,64714.3,63648.4,167488
24601,64714.3,63648.4,167488
24602,64714.3,63648.4,167488
24603,64714.3,63648.4,167488
24604,64714.3,63648.4,167488
24605,64714.3,63648.4,167488
24606,64714.3,63648.4,167488
24607,64714.3,63648.4,167488
24608,64714.3,63648.4,167488
24609,64714.3,63648.4,167488
24610,64714.3,63648.4,167488
24611,64714.3,63648.4,167488
24612,64714.3,63648.4,167488
24613,64714.3,63648.4,167488
24614,64714.3,63648.4,167488
24615,64714.3,63648.4,167488
24616,64714.3,63648.4,167488
24617,64714.3,63648.4,167488
24618,64714.3,63648.4,167488
24619,64714.3,63648.4,167488
24620,64714.3,63648.4,167488
24621,64714.3,63648.4,167488
24622,64714.3,63648.4,167488
24623,64714.3,63648.4,167488
24624,64714.3,63648.4,167488
24625,64714.3,63648.4,167488
24626,64714.3,63648.4,167488
24627,64714.3,63648.4,167488
24628,64714.3,63648.4,167488
24629,64714.3,63648.4,167488
24630,64714.3,63648.4,167488
24631,64714.3,63648.4,167488
24632,64714.3,63648.4,167488
24633,64714.3,63648.4,167488
24634,64714.3,63648.4,167488
24635,64714.3,63648.4,167488
24636,64714.3,63648.4,167488
24637,64714.3,63648.4,167488
24638,64714.3,63648.4,167488
24639,64714.3,63648.4,167488
24640,64714.3,63648.4,167488
24641,64714.3,63648.4,167488
24642,64714.3,63648.4,167488
24643,64714.3,63648.4,167488
24644,64714.3,63648.4,167488
24645,64714.3,63648.4,167488
24646,64714.3,63648.4,167488
24647,64714.3,63648.4,167488
24648,64714.3,63648.4,167488
24649,64714.3,63648.4,167488
24650,64714.3,63648.4,167488
24651,64714.3,63648.4,167488
24652,64714.3,63648.4,167488
24653,64714.3,63648.4,167488
24654,64714.3,63648.4,167488
24655,64714.3,63648.4,167488
24656,64714.3,63648.4,167488
24657,64714.3,63648.4,167488
24658,64714.3,63648.4,167488
24659,64714.3,63648.4,167488
24660,64714.3,63648.4,167488
24661,64714.3,63648.4,167488
24662,64714.3,63648.4,167488
24663,64714.3,63648.4,167488
24664,64714.3,63648.4,167488
24665,64714.3,63648.4,167488
24666,64714.3,63648.4,167488
24667,64714.3,63648.4,167488
24668,64714.3,63648.4,167488
24669,64714.3,63648.4,167488
24670,64714.3,63648.4,167488
24671,64714.3,63648.4,167488
24672,64714.3,63648.4,167488
24673,64714.3,63648.4,167488
24674,64714.3,63648.4,167488
24675,64714.3,63648.4,167488
24676,64714.3,63648.4,167488
24677,64714.3,63648.4,167488
24678,64714.3,63648.4,167488
24679,64714.3,63648.4,167488
24680,64714.3,63648.4,167488
24681,64714.3,63648.4,167488
24682,64714.3,63648.4,167488
24683,64714.3,63648.4,167488
24684,64714.3,63648.4,167488
24685,64714.3,63648.4,167488
24686,64714.3,63648.4,167488
24687,64714.3,63648.4,167488
24688,64714.3,63648.4,167488
24689,64714.3,63648.4,167488
24690,64714.3,63648.4,167488
24691,64714.3,63648.4,167488
24692,64714.3,63648.4,167488
24693,64714.3,63648.4,167488
24694,64714.3,63648.4,167488
24695,64714.3,63648.4,167488
24696,64714.3,63648.4,167488
24697,64714.3,63648.4,167488
24698,64714.3,63648.4,167488
24699,64714.3,63648.4,167488
24700,64714.3,63648.4,167488
24701,64714.3,63648.4,167488
24702,64714.3,63648.4,167488
24703,64714.3,63648.4,167488
24704,64714.3,63648.4,167488
24705,64714.3,63648.4,167488
24706,64714.3,63648.4,167488
24707,64714.3,63648.4,167488
24708,64714.3,63648.4,167488
24709,64714.3,63648.4,167488
24710,64714.3,63648.4,167488
24711,64714.3,63648.4,167488
24712,64714.3,63648.4,167488
24713,64714.3,63648.4,167488
24714,64714.3,63648.4,167488
24715,64714.3,63648.4,167488
24716,64714.3,63648.4,167488
24717,64714.3,63648.4,167488
24718,64714.3,63648.4,167488
24719,64714.3,63648.4,167488
24720,64714.3,63648.4,167488
24721,64714.3,63648.4,167488
24722,64714.3,63648.4,167488
24723,64714.3,63648.4,167488
24724,64714.3,63648.4,167488
24725,64714.3,63648.4,167488
24726,64714.3,63648.4,167488
24727,64714.3,63648.4,167488
24728,64714.3,63648.4,167488
24729,64714.3,63648.4,167488
24730,64714.3,63648.4,167488
24731,64714.3,63648.4,167488
24732,64714.3,63648.4,167488
24733,64714.3,63648.4,167488
24734,64714.3,63648.4,167488
24735,64714.3,63648.4,167488
24736,64714.3,63648.4,167488
24737,64714.3,63648.4,167488
24738,64714.3,63648.4,167488
24739,64714.3,63648.4,167488
24740,64714.3,63648.4,167488
24741,64714.3,63648.4,167488
24742,64714.3,63648.4,167488
24743,64714.3,63648.4,167488
24744,64714.3,63648.4,167488
24745,64714.3,63648.4,167488
24746,64714.3,63648.4,167488
24747,64714.3,63648.4,167488
24748,64714.3,63648.4,167488
24749,64714.3,63648.4,167488
24750,64714.3,63648.4,167488
24751,64714.3,63648.4,167488
24752,64714.3,63648.4,167488
24753,64714.3,63648.4,167488
24754,64714.3,63648.4,167488
24755,64714.3,63648.4,167488
24756,64714.3,63648.4,167488
24757,64714.3,63648.4,167488
24758,64714.3,63648.4,167488
24759,64714.3,63648.4,167488
24760,64714.3,63648.4,167488
24761,64714.3,63648.4,167488
24762,64714.3,63648.4,167488
24763,64714.3,63648.4,167488
24764,64714.3,63648.4,167488
24765,64714.3,63648.4,167488
24766,64714.3,63648.4,167488
24767,64714.3,63648.4,167488
24768,64714.3,63648.4,167488
24769,64714.3,63648.4,167488
24770,64714.3,63648.4,167488
24771,64714.3,63648.4,167488
24772,64714.3,63648.4,167488
24773,64714.3,63648.4,167488
24774,64714.3,63648.4,167488
24775,64714.3,63648.4,167488
24776,64714.3,63648.4,167488
24777,64714.3,63648.4,167488
24778,64714.3,63648.4,167488
24779,64714.3,63648.4,167488
24780,64714.3,63648.4,167488
24781,64714.3,63648.4,167488
24782,64714.3,63648.4,167488
24783,64714.3,63648.4,167488
24784,64714.3,63648.4,167488
24785,64714.3,63648.4,167488
24786,64714.3,63648.4,167488
24787,64714.3,63648.4,167488
24788,64714.3,63648.4,167488
24789,64714.3,63648.4,167488
24790,64714.3,63648.4,167488
24791,64714.3,63648.4,167488
24792,64714.3,63648.4,167488
24793,64714.3,63648.4,167488
24794,64714.3,63648.4,167488
24795,64714.3,63648.4,167488
24796,64714.3,63648.4,167488
24797,64714.3,63648.4,167488
24798,64714.3,63648.4,167488
24799,64714.3,63648.4,167488
24800,64714.3,63648.4,167488
24801,64714.3,63648.4,167488
24802,64714.3,63648.4,167488
24803,64714.3,63648.4,167488
24804,64714.3,63648.4,167488
24805,64714.3,63648.4,167488
24806,64714.3,63648.4,167488
24807,64714.3,63648.4,167488
24808,64714.3,63648.4,167488
24809,64714.3,63648.4,167488
24810,64714.3,63648.4,167488
24811,64714.3,63648.4,167488
24812,64714.3,63648.4,167488
24813,64714.3,63648.4,167488
24814,64714.3,63648.4,167488
24815,64714.3,63648.4,167488
24816,64714.3,63648.4,167488
24817,64714.3,63648.4,167488
24818,64714.3,63648.4,167488
24819,64714.3,63648.4,167488
24820,64714.3,63648.4,167488
24821,64714.3,63648.4,167488
24822,64714.3,63648.4,167488
24823,64714.3,63648.4,167488
24824,64714.3,63648.4,167488
24825,64714.3,63648.4,167488
24826,64714.3,63648.4,167488
24827,64714.3,63648.4,167488
24828,64714.3,63648.4,167488
24829,64714.3,63648.4,167488
24830,64714.3,63648.4,167488
24831,64714.3,63648.4,167488
24832,64714.3,63648.4,167488
24833,64714.3,63648.4,167488
24834,64714.3,63648.4,167488
24835,64714.3,63648.4,167488
24836,64714.3,63648.4,167488
24837,64714.3,63648.4,167488
24838,64714.3,63648.4,167488
24839,64714.3,63648.4,167488
24840,64714.3,63648.4,167488
24841,64714.3,63648.4,167488
24842,64714.3,63648.4,167488
24843,64714.3,63648.4,167488
24844,64714.3,63648.4,167488
24845,64714.3,63648.4,167488
24846,64714.3,63648.4,167488
24847,64714.3,63648.4,167488
24848,64714.3,63648.4,167488
24849,64714.3,63648.4,167488
24850,64714.3,63648.4,167488
24851,64714.3,63648.4,167488
24852,64714.3,63648.4,167488
24853,64714.3,63648.4,167488
24854,64714.3,63648.4,167488
24855,64714.3,63648.4,167488
24856,64714.3,63648.4,167488
24857,64714.3,63648.4,167488
24858,64714.3,63648.4,167488
24859,64714.3,63648.4,167488
24860,64714.3,63648.4,167488
24861,64714.3,63648.4,167488
24862,64714.3,63648.4,167488
24863,64714.3,63648.4,167488
24864,64714.3,63648.4,167488
24865,64714.3,63648.4,167488
24866,64714.3,63648.4,167488
24867,64714.3,63648.4,167488
24868,64714.3,63648.4,167488
24869,64714.3,63648.4,167488
24870,64714.3,63648.4,167488
24871,64714.3,63648.4,167488
24872,64714.3,63648.4,167488
24873,64714.3,63648.4,167488
24874,64714.3,63648.4,167488
24875,64714.3,63648.4,167488
24876,64714.3,63648.4,167488
24877,64714.3,63648.4,167488
24878,64714.3,63648.4,167488
24879,64714.3,63648.4,167488
24880,64714.3,63648.4,167488
24881,64714.3,63648.4,167488
24882,64714.3,63648.4,167488
24883,64714.3,63648.4,167488
24884,64714.3,63648.4,167488
24885,64714.3,63648.4,167488
24886,64714.3,63648.4,167488
24887,64714.3,63648.4,167488
24888,64714.3,63648.4,167488
24889,64714.3,63648.4,167488
24890,64714.3,63648.4,167488
24891,64714.3,63648.4,167488
24892,64714.3,63648.4,167488
24893,64714.3,63648.4,167488
24894,64714.3,63648.4,167488
24895,64714.3,63648.4,167488
24896,64714.3,63648.4,167488
24897,64714.3,63648.4,167488
24898,64714.3,63648.4,167488
24899,64714.3,63648.4,167488
24900,64714.3,63648.4,167488
24901,64714.3,63648.4,167488
24902,64714.3,63648.4,167488
24903,64714.3,63648.4,167488
24904,64714.3,63648.4,167488
24905,64714.3,63648.4,167488
24906,64714.3,63648.4,167488
24907,64714.3,63648.4,167488
24908,64714.3,63648.4,167488
24909,64714.3,63648.4,167488
24910,64714.3,63648.4,167488
24911,64714.3,63648.4,167488
24912,64714.3,63648.4,167488
24913,64714.3,63648.4,167488
24914,64714.3,63648.4,167488
24915,64714.3,63648.4,167488
24916,64714.3,63648.4,167488
24917,64714.3,63648.4,167488
24918,64714.3,63648.4,167488
24919,64714.3,63648.4,167488
24920,64714.3,63648.4,167488
24921,64714.3,63648.4,167488
24922,64714.3,63648.4,167488
24923,64714.3,63648.4,167488
24924,64714.3,63648.4,167488
24925,64714.3,63648.4,167488
24926,64714.3,63648.4,167488
24927,64714.3,63648.4,167488
24928,64714.3,63648.4,167488
24929,64714.3,63648.4,167488
24930,64714.3,63648.4,167488
24931,64714.3,63648.4,167488
24932,64714.3,63648.4,167488
24933,64714.3,63648.4,167488
24934,64714.3,63648.4,167488
24935,64714.3,63648.4,167488
24936,64714.3,63648.4,167488
24937,64714.3,63648.4,167488
24938,64714.3,63648.4,167488
24939,64714.3,63648.4,167488
24940,64714.3,63648.4,167488
24941,64714.3,63648.4,167488
24942,64714.3,63648.4,167488
24943,64714.3,63648.4,167488
24944,64714.3,63648.4,167488
24945,64714.3,63648.4,167488
24946,64714.3,63648.4,167488
24947,64714.3,63648.4,167488
24948,64714.3,63648.4,167488
24949,64714.3,63648.4,167488
24950,64714.3,63648.4,167488
24951,64714.3,63648.4,167488
