Hours since 00:00 Jan 1,My Design - Living Space: Indoor Temperature (F),My Design - Living Space: Indoor Relative Humidity (%),My Design - Garage: Indoor Temperature (F),My Design - Garage: Indoor Relative Humidity (%),My Design - Unfinished Basement: Indoor Temperature (F),My Design - Unfinished Basement: Indoor Relative Humidity (%),My Design - Unfinished Attic: Indoor Temperature (F),My Design - Unfinished Attic: Indoor Relative Humidity (%),My Design - Domestic Water System: Water Heater Inlet Temperature (F)
5213.5,75.9988,40.1198,79.4578,39.1908,71.4253,45.1867,69.3969,50.8049,67.4243
5214.5,75.9989,40.2388,78.6364,40.2698,71.4619,45.1595,68.4325,53.3944,67.4243
5215.5,75.9987,40.4096,78.7201,40.2375,71.2885,45.5187,70.0835,51.653,67.4243
5216.5,76.0058,40.5413,80.0849,38.5764,70.9852,46.0827,75.5568,44.0087,67.4243
5217.5,75.9988,41.1253,82.7359,35.5254,70.2806,47.2651,83.6526,35.0505,67.4243
5218.5,75.999,41.2223,86.8675,31.2328,70.691,46.6706,93.2482,26.576,67.4243
5219.5,75.9989,40.99,92.1797,26.3679,70.7445,46.4334,102.823,20.0408,67.4243
5220.5,75.9984,40.9229,96.5786,23.0607,70.7391,46.531,109.337,16.3926,67.4243
5221.5,75.998,40.8361,99.4992,21.147,70.6067,46.8756,111.942,14.7224,67.4243
5222.5,75.9987,40.5243,100.742,20.3032,70.4223,47.0661,110.326,14.9296,67.4243
5223.5,75.9989,40.2888,99.7456,20.8892,70.2581,47.2422,103.628,18.2641,67.4243
5224.5,75.9991,40.2249,94.9149,24.2746,70.2375,47.1524,91.9158,27.7397,67.4243
5225.5,75.9985,40.2441,88.7557,29.3874,70.4729,46.6377,81.7823,39.1232,67.4243
5226.5,75.998,40.4167,84.8739,33.3783,70.4868,46.6807,76.2474,48.2446,67.4243
5227.5,75.9979,40.517,81.8302,37.0267,70.5362,46.7167,71.6736,58.1756,67.4243
5228.5,75.9972,40.6419,80.9026,38.4089,70.6249,46.695,70.8497,62.6041,67.4243
5229.5,75.9973,40.6951,80.2418,39.4508,70.6834,46.6879,69.5849,67.1009,67.4243
5230.5,75.9977,40.7136,79.1133,41.0742,70.7845,46.5661,67.4832,72.7419,67.4243
5231.5,75.9981,40.8523,78.0268,42.6814,71.0422,46.149,66.2334,76.0293,67.4243
5232.5,75.9988,40.926,77.343,43.7079,71.2076,45.9242,65.09,78.0122,67.4243
5233.5,74.2337,44.0208,76.4459,45.0877,71.7346,45.177,65.0757,75.9855,67.4243
5234.5,73.859,45.461,75.9474,45.844,72.0146,44.7999,65.4003,71.3412,67.425
5235.5,73.6243,46.4517,75.6433,46.3068,72.0003,44.8709,65.6247,68.6662,67.4321
5236.5,73.4116,47.278,75.2175,46.9542,71.9562,44.9834,64.6968,69.1635,67.4321
5237.5,73.8197,46.744,74.1627,48.5272,71.8298,45.1479,62.3382,73.3937,67.4321
5238.5,73.5692,47.4174,73.3851,49.8779,71.8221,45.2727,62.0661,73.7421,67.4335
5239.5,74.2428,46.7277,73.8951,49.0926,71.885,45.2733,65.5349,65.3962,67.4428
5240.5,74.8642,46.3614,75.7369,46.1995,71.9653,45.2084,73.0171,51.0887,67.443
5241.5,75.9154,45.524,79.3025,41.1694,71.9063,45.4122,83.5272,36.6306,67.4433
5242.5,76.1064,45.3407,84.764,34.5863,71.2739,46.5047,95.4252,25.4517,67.4433
5243.5,76.0163,45.3892,91.1174,28.1387,70.934,46.876,106.866,17.6725,67.4433
5244.5,75.9972,45.1108,95.4361,24.566,70.9861,46.8784,110.519,15.115,67.4433
5245.5,76.0026,44.774,97.7842,22.8262,70.6999,47.4708,112.294,13.4602,67.4433
5246.5,75.9974,44.2174,100.012,21.234,70.6976,47.4444,113.863,12.3695,67.4433
5247.5,76.0341,43.643,99.8673,21.2346,70.485,47.7445,109.707,13.6879,67.4433
5248.5,76.0081,43.0681,97.5885,22.6206,70.2497,48.0724,103.986,15.7259,67.4433
5249.5,76.2946,41.6949,97.3747,22.4824,70.1652,47.8453,102.563,15.9038,67.4433
5250.5,76.3572,41.124,96.2283,23.1888,70.0985,47.8939,98.7195,17.73,67.4433
5251.5,76.1596,40.9482,93.1437,25.4199,70.0669,47.9662,92.7642,21.1685,67.4433
5252.5,75.9988,40.6241,89.0009,28.767,70.1483,47.6567,85.4943,26.4726,67.4433
5253.5,75.9994,39.0167,84.9367,32.5428,70.6306,46.7382,77.9753,33.4415,67.4433
5254.5,75.7419,37.102,81.9905,35.5237,72.0537,44.4382,73.3716,37.7672,67.4433
5255.5,75.4242,36.1692,80.3901,37.0658,72.3328,43.837,71.4662,39.4795,67.4433
5256.5,74.7774,36.1437,79.2062,38.2904,72.3476,43.7793,70.2091,40.7113,67.4433
5257.5,75.9422,34.5935,78.3586,39.1886,72.0468,44.2193,69.3769,41.6591,67.4436
5258.5,75.9996,34.5695,77.3979,40.1209,71.8217,44.4054,67.8368,44.3946,67.444
5259.5,75.9998,34.6395,76.3273,41.2981,71.9013,44.1865,66.0748,47.6183,67.444
5260.5,75.9998,34.7369,75.5735,42.1251,71.989,44.0053,65.5989,48.3879,67.444
5261.5,75.9998,34.7771,75.0692,42.5802,71.9362,43.9691,64.6179,49.741,67.444
5262.5,75.9995,35.0336,74.2428,43.6405,71.7848,44.1684,63.2867,52.7012,67.4566
5263.5,75.9995,35.3019,74.3905,43.4446,71.5428,44.5982,66.2016,48.8701,67.4593
5264.5,75.9994,35.4463,76.3238,40.7597,71.1209,45.2552,73.9926,39.0007,67.4593
5265.5,75.9995,35.5372,79.9875,36.1997,70.8931,45.5958,84.7467,28.7628,67.4593
5266.5,75.9995,35.5796,85.4985,30.3433,70.8865,45.5508,96.2966,20.3368,67.4593
5267.5,75.9995,35.4332,91.6504,24.8436,70.9438,45.1453,107.407,14.6812,67.4593
5268.5,75.9994,35.4818,97.0856,21.0152,70.9399,45.1288,116.75,11.2001,67.4593
5269.5,75.9991,35.588,100.972,18.719,70.8094,45.379,121.031,9.84651,67.4593
5270.5,75.9986,35.5384,103.896,17.1212,70.6993,45.4082,123.696,8.91972,67.4593
5271.5,75.9996,35.4376,105.203,16.4151,70.5461,45.4658,121.987,9.0864,67.4593
5272.5,75.9997,35.3616,104.089,16.9212,70.3151,45.6654,114.803,11.0757,67.4593
5273.5,76.2378,34.9442,100.766,18.5568,70.0149,45.7322,104.624,15.2664,67.4593
5274.5,76.2007,35.1106,96.4293,21.1768,69.9104,45.799,94.9916,20.9558,67.4593
5275.5,76.4053,35.154,91.4802,24.7792,69.9645,45.7405,86.8383,28.3712,67.4593
5276.5,76,35.6134,87.0499,28.4459,70.2096,45.207,80.048,35.2692,67.4593
5277.5,75.9982,35.6352,84.0704,31.272,70.3198,44.9209,75.1816,41.7757,67.4593
5278.5,75.9981,35.699,82.1309,33.3302,70.5149,44.5708,72.4737,46.1872,67.4593
5279.5,75.9987,35.9084,80.2729,35.4908,70.8211,44.0828,69.899,51.5875,67.4593
5280.5,75.9992,36.5191,78.4068,37.9581,71.3671,43.2679,67.1505,60.7874,67.4593
5281.5,75.9993,37.087,77.3344,39.6274,71.5363,43.0995,65.7894,66.9561,67.4593
5282.5,74.2621,40.371,76.7457,40.5929,71.918,42.6278,65.6146,68.1611,67.4593
5283.5,74.0085,42.1885,76.3024,41.3619,72.1128,42.4475,65.1486,68.6679,67.4593
5284.5,73.6547,43.7084,75.7566,42.2596,72.0683,42.6042,64.6039,69.5953,67.4593
5285.5,74.2592,43.5807,75.1881,43.2081,72.0479,42.7029,64.2812,70.3298,67.4593
5286.5,75.4662,42.3627,74.6614,44.1978,71.8419,43.1272,63.5868,72.9334,67.4702
5287.5,75.3501,43.0584,74.1101,45.3158,71.9155,43.1505,63.1776,75.6911,67.4725
5288.5,75.5052,43.3653,73.8687,46.0089,71.8754,43.3369,62.8747,78.4371,67.4725
5289.5,74.6403,45.0236,73.4662,46.8874,71.8264,43.5275,62.2398,80.5787,67.4725
5290.5,73.9891,46.3145,73.1808,47.5407,71.8077,43.6555,62.1717,79.1334,67.4725
5291.5,74.2239,46.1543,73.0333,47.8546,71.7943,43.7113,61.968,77.7969,67.4725
5292.5,74.1372,46.5631,72.8388,48.2753,71.7581,43.8297,61.8349,77.5527,67.4725
5293.5,73.8268,47.2535,73.4274,47.4655,71.739,43.9689,64.3715,70.3665,67.4725
5294.5,73.342,47.8501,74.6353,45.5059,71.8103,43.8756,67.7444,59.4748,67.4725
5295.5,73.5885,47.1987,76.1412,43.183,71.8324,43.8249,71.4959,50.4134,67.4725
5296.5,74.2215,45.9286,78.5252,39.8118,71.8821,43.7493,76.7398,40.7694,67.4725
5297.5,74.7014,44.7817,79.5781,38.283,71.8814,43.6435,79.0368,36.4495,67.4725
5298.5,75.0495,43.9726,79.4223,38.4128,71.91,43.6099,78.0894,36.616,67.4725
5299.5,74.5758,44.3261,77.3144,41.1312,71.9232,43.6421,72.9375,42.7005,67.4725
5300.5,74.4733,44.3062,75.0217,44.3032,71.9138,43.6638,67.9977,50.7651,67.4725
5301.5,75.1432,43.5328,73.1616,47.1478,71.8466,43.7991,64.3509,59.2479,67.4725
5302.5,75.9995,42.4167,71.8967,49.2022,71.5036,44.3217,61.9074,66.4382,67.4725
5303.5,75.8693,42.659,70.6387,51.2829,71.6417,44.0724,59.0484,74.6762,67.4725
5304.5,75.0398,43.9817,68.9725,54.256,71.669,44.051,56.2137,82.9546,67.4725
5305.5,74.5202,44.9181,68.0265,56.0673,71.6654,44.1149,55.4453,85.8586,67.4725
5306.5,74.2166,45.4733,67.5711,56.8943,71.6711,44.1065,55.1695,86.6718,67.4747
5307.5,73.8279,46.1542,67.0972,57.7586,71.6309,44.1491,55.017,87.3333,67.4808
5308.5,73.4107,46.8749,66.8136,58.2348,71.6001,44.1722,55.2477,86.3611,67.4819
5309.5,73.1536,47.3801,66.4711,58.8721,71.5279,44.2861,54.7435,87.7079,67.4826
5310.5,72.7465,48.2032,66.0331,59.8016,71.4557,44.4568,53.7762,90.9802,67.4826
5311.5,73.3496,47.4506,65.8778,60.2073,71.4514,44.5548,54.3273,89.8009,67.4826
5312.5,73.0499,48.1525,66.5632,58.9043,71.4609,44.6378,57.1924,82.1295,67.4827
5313.5,72.6187,48.9724,67.4167,57.2343,71.4157,44.7663,59.5115,75.8444,67.4827
5314.5,73.066,48.3359,69.5443,53.3047,71.4643,44.7517,66.6281,59.8179,67.4827
5315.5,74.3513,46.3229,75.7033,43.3435,71.6153,44.4986,81.0973,37.1915,67.4827
5316.5,75.3736,44.9438,82.0034,35.2818,71.7584,44.4127,92.7348,25.7931,67.4827
5317.5,75.9907,44.1746,85.5241,31.5383,71.7591,44.53,97.5384,22.3516,67.4827
5318.5,75.9987,44.1391,86.2941,30.7645,71.564,44.8409,98.1505,21.864,67.4827
5319.5,75.9986,44.0715,87.7903,29.3608,71.3854,45.1519,99.2522,21.1393,67.4827
5320.5,75.9976,43.9089,90.195,27.2068,71.0751,45.6615,100.952,19.8883,67.4827
5321.5,75.9992,43.5955,87.3336,29.7284,70.8759,45.8073,90.8608,27.3712,67.4827
5322.5,75.9992,43.5673,80.4344,37.1427,70.9964,45.6704,76.83,42.5455,67.4827
5323.5,75.9981,43.5388,76.5225,42.2426,70.9716,45.7828,71.0906,51.3598,67.4827
5324.5,75.9985,43.5212,73.6113,46.6572,70.8095,46.0851,66.6789,61.602,67.4827
5325.5,75.9978,43.6031,71.6551,50.0379,70.9468,45.963,63.1886,73.0536,67.4827
5326.5,75.9989,43.7499,70.3611,52.5117,71.1975,45.6118,61.2108,81.1917,67.4827
5327.5,75.9996,43.9557,69.266,54.6951,71.5033,45.1695,60.0834,85.2241,67.4827
5328.5,75.8612,44.4421,68.4798,56.3954,71.7669,44.8545,59.3871,87.1664,67.4827
5329.5,75.4544,45.2413,67.782,57.8494,71.8298,44.8108,58.4452,88.5111,67.4827
5330.5,74.9004,46.2167,67.0159,59.4089,71.7746,44.8986,57.3054,90.8161,67.4827
5331.5,74.5182,46.9764,66.3308,60.8904,71.7211,45.0172,56.3968,93.1371,67.4846
5332.5,74.1723,47.6938,65.739,62.21,71.6482,45.1823,55.053,97.0646,67.4895
5333.5,73.8457,48.3372,64.9729,63.8819,71.5735,45.3319,53.6701,99.9801,67.4895
5334.5,73.3747,49.325,64.5867,64.8449,71.5389,45.4896,53.6141,99.4181,67.4897
