,performance_score,hourly_integrated_MW,mileage_ratio,Regulation_Market_Clearing_Price(RMCP),Reg_Clearing_Price_Credit
2017-01-27 15:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.14251115949800838,45.69945784884922,"(13.64, 13.43, 0.21)","(3.281588244616923, 1.9139248720582522, 1.3676633725586707)"
2017-01-27 16:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1515610761988385,4.284599473623022,"(15.0, 13.99, 1.01)","(2.776211748398065, 2.12033945602175, 0.6558722923763147)"
2017-01-27 17:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.15998800764832785,3.466248065582004,"(9.370000000000001, 9.370000000000001, 0.0)","(1.4990876316648318, 1.4990876316648318, 0.0)"
2017-01-27 18:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.17687497816095363,6.0956221510876425,"(7.730000000000001, 7.730000000000001, 0.0)","(1.3672435811841717, 1.3672435811841717, 0.0)"
2017-01-27 19:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1420402095747397,11.456659352261664,"(3.13, 3.13, 0.0)","(0.4445858559689352, 0.4445858559689352, 0.0)"
2017-01-27 20:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1497071164881522,6.141796480103266,"(21.18, 17.0, 4.18)","(6.388408260068758, 2.545020980298587, 3.8433872797701714)"
2017-01-27 21:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999996)",0.11664929458527228,4.655679834982889,"(11.32, 10.74, 0.58)","(1.56780084961389, 1.2528134238458242, 0.3149874257680659)"
2017-01-27 22:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.10945584095203297,6.996268746396624,"(9.07, 8.64, 0.43)","(1.2749849318657698, 0.9456984658255647, 0.3292864660402052)"
2017-01-27 23:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09307087565900768,4.988274589121994,"(7.13, 5.28, 1.85)","(1.3503009289483079, 0.4914142234795605, 0.8588867054687473)"
2017-01-28 00:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.15221821366150645,3.88365608616848,"(4.73, 4.09, 0.64)","(1.0009169366993715, 0.6225724938755612, 0.37834444282381025)"
2017-01-28 01:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09480901085699286,4.381919520278619,"(5.97, 5.21, 0.76)","(0.8096934926480818, 0.4939549465649328, 0.315738546083149)"
2017-01-28 02:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.08941014884880405,4.089477558312951,"(6.13, 3.72, 2.41)","(1.2138000749758282, 0.332605753717551, 0.8811943212582771)"
2017-01-28 03:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09029992960763834,6.333689075055145,"(6.04, 4.469999999999999, 1.57)","(1.301573419231755, 0.4036406853461432, 0.8979327338856117)"
