Preliminary Synchronized Reserve Summary 
Month:,"December, 2017" ,Report Creation Timestamp (EPT):, 01/08/2018 04:33:35 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
12/03/2017 06,12/03/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64563.781048,221.036912979,1029.932071,503.83,118.18,389.042013862,766.830975634,.00,.000,156.150,27.000,.000,.000,.00,389.042013862
12/03/2017 07,12/03/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),2.55,66771.874051,284.121226771,840.823994,175.86,61.47,507.057963120,666.417331196,.00,.000,205.307,27.000,.000,.000,.00,507.057963120
12/03/2017 08,12/03/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.11,69198.260985,281.867431646,847.223348,1679.26,.00,496.292018791,649.354375944,.00,.000,189.975,.000,.000,.000,.00,496.291997627
12/03/2017 09,12/03/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),5.76,70934.805998,353.763585401,791.726688,402.21,.00,623.280007100,613.644506513,.00,.000,246.723,.000,.000,.000,.00,623.280007100
12/03/2017 10,12/03/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),1.34,70960.540033,378.286651472,855.275167,2521.89,.00,669.199961038,655.996440327,.00,.000,233.525,.000,.000,.000,.00,669.199961038
12/03/2017 11,12/03/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69931.180008,527.367468302,1022.039372,4786.05,.00,957.842026857,847.873785750,.00,.000,421.842,.000,.000,.000,.00,957.842026857
12/03/2017 12,12/03/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,68651.672041,223.157264510,1156.742083,956.34,.00,400.600036636,875.991549697,.00,.000,182.600,.000,.000,.000,.00,400.600036636
12/03/2017 13,12/03/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67772.207038,227.756905536,1171.073728,390.29,.00,414.217014310,865.340238680,.00,.000,140.100,.000,.000,.000,.00,414.217014310
12/03/2017 14,12/03/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,66661.920072,189.394879162,1190.572428,486.71,.00,345.500006964,867.270982975,.00,.000,165.600,.000,.000,.000,.00,345.500006964
12/03/2017 15,12/03/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65994.640982,168.499255611,1303.213677,141.73,.00,308.899993937,937.365352566,.00,.000,50.100,.000,.000,.000,.00,308.899993937
12/03/2017 16,12/03/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,66098.824014,136.372329719,1341.351692,75.18,.00,246.699966161,966.831472194,.00,.000,50.100,.000,.000,.000,.00,246.699966161
12/03/2017 17,12/03/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,68966.312922,255.528963439,1138.600133,537.22,690.60,476.216986185,833.951022678,.00,.000,86.600,.000,.000,.000,.00,476.216984334
12/03/2017 18,12/03/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),8.20,75666.968945,295.801692626,898.858131,781.50,.00,533.757995274,616.977267406,.00,.000,280.433,.000,.000,.000,.00,533.757995274
12/03/2017 19,12/04/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),5.14,78178.958997,396.733507296,677.721160,1553.60,.00,704.258014615,488.363200076,.00,.000,261.149,.000,.000,.000,.00,704.258014615
12/03/2017 20,12/04/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),4.20,78554.214984,450.053714243,634.010312,2221.69,.00,797.069042288,470.874606499,.00,.000,349.735,.000,.000,.000,.00,797.069042288
12/03/2017 21,12/04/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,78143.544997,435.087037666,894.619247,2828.45,.00,785.717020234,682.871870356,.00,.000,257.216,.000,.000,.000,.00,785.717020234
12/03/2017 22,12/04/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75925.059000,418.902388735,1073.709367,2654.10,.00,765.775044681,856.542488560,.00,.000,213.083,.000,.000,.000,.00,765.775044681
12/03/2017 23,12/04/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72678.075915,294.165900600,1201.385217,707.07,.00,526.865995515,928.741936709,.00,.000,240.500,.000,.000,.000,.00,526.865995515
12/03/2017 24,12/04/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.68,69166.580071,137.998731555,1222.257998,7.80,.00,246.124999725,913.940017782,.00,.000,94.392,.000,.000,.000,.00,246.124999725
12/04/2017 01,12/04/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,66641.574924,102.952269636,1399.452337,.00,.00,183.200050822,1039.319025497,.00,.000,33.900,.000,.000,.000,.00,183.200022887
