Preliminary Synchronized Reserve Summary 
Month:,"September, 2017" ,Report Creation Timestamp (EPT):, 01/05/2018 12:27:03 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
09/03/2017 03,09/03/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,51451.151014,5.951796145,1476.608323,.00,.00,10.599998152,1037.293081512,.00,.000,.000,.000,.000,.000,.00,10.599998152
09/03/2017 04,09/03/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,50699.941056,6.763302669,1608.361981,.00,.00,11.900001592,1116.144601486,.00,.000,.000,.000,.000,.000,.00,11.900001592
09/03/2017 05,09/03/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,50499.512067,6.005509523,1623.803314,.00,.00,10.600076763,1126.769740502,.00,.000,.000,.000,.000,.000,.00,10.600041780
09/03/2017 06,09/03/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),4.50,50868.705041,16.028967555,1320.079494,137.04,.00,28.440985868,915.699837642,.00,.000,11.817,.000,.000,.000,.00,28.440985868
09/03/2017 07,09/03/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),8.49,52134.653040,137.472590566,1116.483187,535.01,.00,248.108984566,818.939466128,.00,.000,.000,78.668,.000,.000,.00,248.108984566
09/03/2017 08,09/03/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,53379.588916,206.445142282,1915.279995,471.75,265.70,368.299976413,1345.702122648,.00,.000,76.100,107.000,.000,.000,.00,368.299976413
09/03/2017 09,09/03/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56315.274994,64.203869220,2518.084530,.00,184.98,115.900015896,1711.330856654,.00,.000,.000,107.000,.000,.000,.00,115.900015896
09/03/2017 10,09/03/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,59357.218037,5.757295318,1627.141244,.00,.00,10.600014084,1120.923318766,.00,.000,.000,.000,.000,.000,.00,10.600014084
09/03/2017 11,09/03/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61753.121046,5.768943083,1513.442081,.00,.00,10.599956377,1045.635714883,.00,.000,.000,.000,.000,.000,.00,10.599956377
09/03/2017 12,09/03/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63370.222013,55.155964301,1870.587890,58.26,.00,100.900025653,1308.750111623,.00,.000,76.100,.000,.000,.000,.00,100.900025653
09/03/2017 13,09/03/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64777.469028,14.958110687,1586.779570,.00,.00,26.799987219,1094.164304802,.00,.000,14.900,.000,.000,.000,.00,26.799959887
09/03/2017 14,09/03/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65955.343017,42.246028049,1647.132260,1.00,.00,73.199971471,1153.024684077,.00,.000,60.100,.000,.000,.000,.00,73.199969519
09/03/2017 15,09/03/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,66798.730991,47.058761951,1803.107777,8.92,.00,81.199973132,1262.775819210,.00,.000,68.100,.000,.000,.000,.00,81.199973132
09/03/2017 16,09/03/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67888.955946,6.954808566,1956.621721,.00,.00,11.900042242,1370.149289640,.00,.000,.000,.000,.000,.000,.00,11.900011058
