Preliminary Synchronized Reserve Summary 
Month:,"October, 2017" ,Report Creation Timestamp (EPT):, 01/05/2018 12:31:31 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
10/03/2017 14,10/03/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,77147.277036,811.208389892,755.335688,10596.08,.00,1326.441995509,612.702832261,.00,.000,667.142,.000,.000,.000,.00,1326.441995509
10/03/2017 15,10/03/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,78394.838067,546.959339012,919.132622,6331.99,.00,888.808023697,686.488018947,.00,.000,349.108,.000,.000,.000,.00,888.808023697
10/03/2017 16,10/03/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),10.23,79622.431008,621.106489563,563.607055,851.80,.00,1011.832971715,465.559134829,.00,.000,348.075,.000,.000,.000,.00,1011.832971715
10/03/2017 17,10/03/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),17.21,80646.443977,691.814258394,413.438097,2281.70,.00,1126.865988007,361.183011182,.00,.000,538.991,.000,.000,.000,.00,1126.865988007
10/03/2017 18,10/03/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),8.01,80832.472982,487.467328251,539.637113,1037.81,.00,798.966029039,421.207743593,.00,.000,250.408,.000,.000,.000,.00,798.966029039
10/03/2017 19,10/03/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),9.27,80194.972986,635.587818979,557.352178,1887.18,.00,1050.591988315,461.135100351,.00,.000,504.267,.000,.000,.000,.00,1050.591967532
10/03/2017 20,10/04/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),98.66,81283.713025,794.561671941,228.216966,2279.52,.00,1309.010000967,224.309445329,.00,.000,731.535,.000,.000,.000,.00,1309.010000967
10/03/2017 21,10/04/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),21.94,80231.645022,624.204827367,280.652525,829.13,.00,1021.177967192,256.999027575,16254.99,.000,419.919,.000,.000,.000,.00,1021.177967192
10/03/2017 22,10/04/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),3.27,76002.527065,645.227826308,832.485250,5248.03,.00,1046.414062897,630.932262856,.00,.000,480.981,.000,.000,.000,.00,1046.414036942
10/03/2017 23,10/04/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,70410.176022,507.972033175,1319.069346,5083.44,.00,817.483010051,956.981134817,.00,.000,437.083,.000,.000,.000,.00,817.483010051
10/03/2017 24,10/04/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64879.919002,282.062783687,1455.601151,542.71,.00,463.399954747,1095.795716667,.00,.000,205.000,.000,.000,.000,.00,463.399954747
