Preliminary Synchronized Reserve Summary 
Month:,"March, 2017" ,Report Creation Timestamp (EPT):, 11/03/2017 11:13:56 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
03/03/2017 22,03/04/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),19.82,85273.444998,759.690685632,163.732844,754.98,.00,1265.456110345,107.460834429,.00,.000,213.640,.000,.000,.000,.00,1265.456009660
03/03/2017 23,03/04/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),33.67,81955.644004,721.501467434,294.720671,1678.32,1481.63,1198.758007967,189.564087928,.00,.000,212.576,119.080,.000,.000,.00,1198.758007967
03/03/2017 24,03/04/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,78219.300001,706.090415771,447.749016,3767.07,6017.07,1180.284004547,300.011331805,.00,.000,42.467,477.400,.000,.000,.00,1180.284004547
03/04/2017 01,03/04/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.32,75386.125030,663.272927767,673.045095,7183.31,.00,1101.238039183,422.728322318,.00,.000,494.338,.000,.000,.000,.00,1101.237992600
03/04/2017 02,03/04/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),1.98,73879.313018,676.856565724,445.068901,2971.14,2761.22,1112.020001375,285.532537618,.00,.000,140.181,354.548,.000,.000,.00,1112.019980737
03/04/2017 03,03/04/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73140.295999,698.523551167,586.083160,7787.19,.00,1161.100000365,366.907395287,.00,.000,517.200,.000,.000,.000,.00,1161.100000365
03/04/2017 04,03/04/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73160.500987,698.509534972,657.809577,7742.73,.00,1161.099959880,445.647605147,.00,.000,517.200,.000,.000,.000,.00,1161.099959880
03/04/2017 05,03/04/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73868.242041,696.274820707,584.566864,7743.62,.00,1161.199995077,397.413150619,.00,.000,517.300,.000,.000,.000,.00,1161.199995077
03/04/2017 06,03/04/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75855.009024,687.016350655,405.244136,7812.53,445.72,1180.599011253,313.176283802,.00,.000,517.300,19.399,.000,.000,.00,1180.598989539
03/04/2017 07,03/04/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,78692.253156,676.390896124,533.917667,7633.84,606.63,1161.679124303,384.457421100,.00,.000,517.300,37.079,.000,.000,.00,1161.679012448
03/04/2017 08,03/04/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,80342.398986,699.779087263,590.303830,8163.71,.00,1197.383060625,447.433825957,.00,.000,517.383,.000,.000,.000,.00,1197.382989660
03/04/2017 09,03/04/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,80833.705944,679.225552519,687.944016,8085.58,.00,1167.458006595,538.502163366,.00,.000,517.358,.000,.000,.000,.00,1167.458006595
03/04/2017 10,03/04/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),2.46,81154.648939,675.795337298,414.967136,4276.59,1311.32,1127.892023091,284.067354565,.00,.000,301.209,70.151,.000,.000,.00,1127.892023091
03/04/2017 11,03/04/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,80427.313979,796.881069464,461.289434,3594.28,6107.90,1335.792114510,302.997746543,.00,.000,30.192,487.200,.000,.000,.00,1335.792025090
03/04/2017 12,03/04/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,79122.322020,772.825045415,433.342872,6678.97,2585.74,1293.799993032,281.905658710,.00,.000,251.000,266.400,.000,.000,.00,1293.799993032
03/04/2017 13,03/04/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,76980.629994,763.393509471,509.676839,6607.08,2549.54,1293.700007492,356.876022287,.00,.000,250.900,266.400,.000,.000,.00,1293.700007492
