,8/1/2017,8/2/2017
16:19:06,-0.547812369,0.102250597
16:19:08,-0.549339996,0.102360039
16:19:10,-0.551067878,0.10248381
16:19:12,-0.553005399,0.102691606
16:19:14,-0.555130175,0.103024379
16:19:16,-0.557349499,0.103435271
16:19:18,-0.559659424,0.103953322
16:19:20,-0.561983399,0.104026663
16:19:22,-0.56406963,0.104636324
16:19:24,-0.565726443,0.106417124
16:19:26,-0.566933724,0.107786471
16:19:28,-0.567527521,0.109258358
16:19:30,-0.567756106,0.11087354
16:19:32,-0.567398025,0.112466408
16:19:34,-0.566482814,0.114046363
16:19:36,-0.565120895,0.115581824
16:19:38,-0.563256856,0.117105937
16:19:40,-0.560981829,0.118593213
16:19:42,-0.558485446,0.120071159
16:19:44,-0.555687873,0.120265847
16:19:46,-0.552546143,0.122761002
16:19:48,-0.54917606,0.124367032
16:19:50,-0.545537174,0.124564259
16:19:52,-0.541709942,0.126946926
16:19:54,-0.537655164,0.128436271
16:19:56,-0.533318725,0.128599201
16:19:58,-0.52873607,0.130767357
16:20:00,-0.523899999,0.132110318
16:20:02,-0.518923028,0.133331235
16:20:04,-0.513864224,0.13461711
16:20:06,-0.508901023,0.135989435
16:20:08,-0.504069961,0.137484859
16:20:10,-0.499135725,0.139146847
16:20:12,-0.494232358,0.1409451
16:20:14,-0.489418497,0.142884444
16:20:16,-0.484611593,0.144963286
16:20:18,-0.479830556,0.147224651
16:20:20,-0.475010649,0.149562266
16:20:22,-0.470177217,0.15208528
16:20:24,-0.465339643,0.154755011
16:20:26,-0.460358883,0.157619708
16:20:28,-0.455153578,0.160606421
16:20:30,-0.449747925,0.163872129
16:20:32,-0.44417393,0.164297559
16:20:34,-0.438549736,0.170363411
16:20:36,-0.43296046,0.174391066
16:20:38,-0.427296543,0.178000343
16:20:40,-0.421549555,0.18165521
16:20:42,-0.415708206,0.185394154
16:20:44,-0.40981431,0.189154636
16:20:46,-0.404022076,0.193005991
16:20:48,-0.398430954,0.196855514
16:20:50,-0.393008531,0.200740523
16:20:52,-0.387764379,0.20463842
16:20:54,-0.382685628,0.20850279
16:20:56,-0.377742528,0.20899904
16:20:58,-0.372737385,0.215369485
16:21:00,-0.367732984,0.219265142
16:21:02,-0.362650916,0.222490489
16:21:04,-0.357403633,0.22542453
16:21:06,-0.351782672,0.228078955
16:21:08,-0.345769224,0.230544654
16:21:10,-0.339243618,0.232834646
16:21:12,-0.332263229,0.23499098
16:21:14,-0.324834584,0.237122106
16:21:16,-0.316979768,0.239178355
16:21:18,-0.30874721,0.241159889
16:21:20,-0.300426414,0.243069434
16:21:22,-0.292077445,0.243308015
16:21:24,-0.283698328,0.246105342
16:21:26,-0.275082664,0.247715947
16:21:28,-0.266097008,0.248907133
16:21:30,-0.256786325,0.249998851
16:21:32,-0.247270199,0.250143228
16:21:34,-0.237672409,0.252277209
16:21:36,-0.228057118,0.253870383
16:21:38,-0.218637581,0.255455938
16:21:40,-0.209509968,0.257213029
16:21:42,-0.200651683,0.259133877
16:21:44,-0.19187682,0.261130001
16:21:46,-0.183313252,0.263178197
16:21:48,-0.175105642,0.265305571
16:21:50,-0.167205909,0.267406107
16:21:52,-0.159523229,0.269515598
16:21:54,-0.151920624,0.27162736
16:21:56,-0.144372051,0.271904321
16:21:58,-0.136974813,0.275519169
16:22:00,-0.129928781,0.277897737
16:22:02,-0.123246495,0.280004472
16:22:04,-0.117053981,0.2821995
16:22:06,-0.111401159,0.284521904
16:22:08,-0.106640626,0.286888998
16:22:10,-0.103008477,0.289272856
16:22:12,-0.10028942,0.291670454
16:22:14,-0.098274137,0.294094141
16:22:16,-0.096893569,0.296494384
16:22:18,-0.096125976,0.298879705
16:22:20,-0.095948385,0.299198205
16:22:22,-0.096372604,0.303313538
16:22:24,-0.097240611,0.306033167
16:22:26,-0.098408057,0.308338403
16:22:28,-0.099959816,0.31063284
16:22:30,-0.1018919,0.312868353
16:22:32,-0.104105199,0.315060246
16:22:34,-0.106523239,0.317210625
16:22:36,-0.109189353,0.319349135
16:22:38,-0.111983994,0.321490103
16:22:40,-0.114870793,0.323607914
16:22:42,-0.117838532,0.325649868
16:22:44,-0.120837387,0.327724728
16:22:46,-0.123986215,0.329879809
16:22:48,-0.127336032,0.332122461
16:22:50,-0.130902735,0.334479916
16:22:52,-0.134606645,0.337023055
16:22:54,-0.13839446,0.339723401
16:22:56,-0.142287484,0.340101428
16:22:58,-0.146345987,0.345280872
16:23:00,-0.150547173,0.348876371
16:23:02,-0.155051914,0.352281665
16:23:04,-0.159900019,0.355824582
16:23:06,-0.165117543,0.359499365
16:23:08,-0.170620783,0.363148564
16:23:10,-0.176449445,0.36712565
16:23:12,-0.1826047,0.371026137
16:23:14,-0.188903174,0.374868495
16:23:16,-0.195311845,0.378578398
16:23:18,-0.201798847,0.382201316
16:23:20,-0.208421015,0.385582234
16:23:22,-0.21512821,0.388676965
16:23:24,-0.221924095,0.391476994
16:23:26,-0.228888482,0.394042603
16:23:28,-0.235865083,0.396370837
16:23:30,-0.242711191,0.398388211
16:23:32,-0.249427685,0.398657567
16:23:34,-0.255972722,0.401326955
16:23:36,-0.262370997,0.402830685
16:23:38,-0.268691628,0.403895806
16:23:40,-0.273969825,0.404805404
16:23:42,-0.278770713,0.405616604
16:23:44,-0.283300849,0.406299369
16:23:46,-0.287495621,0.406846623
16:23:48,-0.291390826,0.407242337
16:23:50,-0.295111835,0.407474776
